stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
12,2201,"MARKET + FAMILY DOLLAR",,35.050703,-85.309532,,,,,,2
17,2164,"MARKET + 11TH",,35.044250,-85.309435,,,,,,2
18,3074,"MARKET + 12TH",,35.042347,-85.309070,,,,,,2
19,2204,"MARKET + COWART",,35.040952,-85.308387,,,,,,2
21,2217,"MARKET + MAIN",,35.036378,-85.307322,,,,,,2
22,2173,"MARKET + 17TH",,35.034650,-85.308260,,,,,,2
23,2175,"MARKET + 19TH",,35.032758,-85.308640,,,,,,2
24,2177,"MARKET + 20TH",,35.031788,-85.308832,,,,,,2
25,2178,"MARKET + 21ST",,35.030815,-85.309087,,,,,,2
26,2206,"MARKET + E 25TH",,35.027553,-85.310660,,,,,,2
27,2229,"MARKET + W 25TH",,35.026735,-85.311025,,,,,,2
28,2179,"MARKET + 26TH",,35.025917,-85.311487,,,,,,2
38,1373,"BROAD + GLENVIEW",,35.017135,-85.322597,,,,,,2
41,2425,"TENN AVE + WALGREENS",,35.013737,-85.325457,,,,,,2
43,43,"TENN AVE + SUNTRUST BANK",,35.011425,-85.327285,,,,,,0
44,44,"BI LO + BI LO STOP",,35.010633,-85.325823,,,,,,0
72,1612,"DORRIS + 5216",,34.989900,-85.315905,,,,,,2
74,1206,"52ND + 524",,34.989823,-85.312997,,,,,,2
75,75,"52ND + POLK",,34.989392,-85.311852,,,,,,0
81,1242,"ANGELA + 4910",,34.990302,-85.304890,,,,,,2
90,4,"ANGELA + 49TH",,34.991247,-85.304968,,,,,,2
95,3,"HALSEY + CENTRAL",,34.989068,-85.319482,,,,,,2
100,2004,"CENTRAL + WORKMANS",,34.998713,-85.314267,,,,,,2
101,1448,"CENTRAL + 45TH",,34.999948,-85.313600,,,,,,2
102,1446,"CENTRAL + 42ND",,35.002018,-85.312440,,,,,,2
103,1445,"CENTRAL + 41ST",,35.003795,-85.311487,,,,,,2
104,1443,"CENTRAL + 38TH",,35.005313,-85.310675,,,,,,2
105,1109,"38TH + HUGHES",,35.005842,-85.311438,,,,,,2
106,1111,"38TH + KIRKLAND",,35.006287,-85.312615,,,,,,2
107,1107,"38TH + HIGHLAND",,35.006708,-85.313758,,,,,,2
108,1094,"38TH + CHANDLER PLACE",,35.006985,-85.314490,,,,,,2
109,1113,"38TH + OHLS",,35.007617,-85.316223,,,,,,2
110,1100,"38TH + ALTON PK BLVD",,35.008178,-85.317668,,,,,,2
111,111,"37TH + ALTON PARK BLVD",,35.009267,-85.317303,,,,,,0
112,2658,"37TH + CALVIN DONALDSON",,35.010062,-85.318655,,,,,,2
113,2659,"PIROLA + 37TH",,35.010590,-85.320022,,,,,,2
114,1114,"PIROLA + 38TH",,35.009385,-85.320912,,,,,,2
115,2314,"PIROLA + POST OFFICE",,35.008372,-85.321468,,,,,,2
116,2660,"40TH + SOUTHSIDE REC",,35.008213,-85.322787,,,,,,2
118,1157,"40TH + BEN MILLER PK",,35.008127,-85.325267,,,,,,2
124,1372,"BROAD + 33RD",,35.017432,-85.322215,,,,,,2
125,1080,"33RD + CHATTEM",,35.017270,-85.321325,,,,,,2
126,2665,"33RD + WILLIAMS",,35.016888,-85.320228,,,,,,2
127,127,"33RD + TEEN CHALLENGE",,35.016470,-85.319037,,,,,,0
128,1085,"33RD + TARLTON",,35.016097,-85.317972,,,,,,2
129,2667,"33RD + DELONG",,35.015752,-85.316970,,,,,,2
130,1077,"33RD + ALTON PK BLVD",,35.014933,-85.314602,,,,,,2
132,1228,"ALTON PK BLVD + 31ST",,35.017273,-85.312997,,,,,,2
133,1231,"ALTON PK BLVD + SHIPP",,35.018855,-85.312105,,,,,,2
134,1803,"S MARKET + D M WHITE",,35.019952,-85.311502,,,,,,2
136,1805,"S MARKET + HOWARD SCHOOL OF ACADEMICS AND TECHNOLOGY",,35.025455,-85.311550,,,,,,2
137,1804,"S MARKET + E 25TH",,35.026485,-85.310993,,,,,,2
138,1800,"S MARKET + 19TH",,35.032270,-85.308545,,,,,,2
139,1799,"S MARKET + 17TH",,35.034138,-85.308195,,,,,,2
140,1798,"S MARKET + 16TH",,35.035092,-85.307750,,,,,,2
141,2218,"S MARKET + MAIN",,35.035862,-85.307322,,,,,,2
142,2203,"MARKET + CHOO CHOO",,35.037463,-85.307370,,,,,,2
143,2370,"MARKET + SPS",,35.038600,-85.307433,,,,,,2
144,2205,"MARKET + DRC",,35.040257,-85.307878,,,,,,2
145,8,"MARKET + 12TH",,35.041675,-85.308640,,,,,,2
146,5286,"ANGELA + WOODLAND VIEW",,34.989585,-85.304620,,,,,,0
148,1168,"49TH + WILSON",,34.992518,-85.307750,,,,,,2
150,2566,"WILSON + WORKMANS",,34.995670,-85.306162,,,,,,2
151,2008,"WORKMANS + FAGAN",,34.997878,-85.311660,,,,,,2
152,2006,"WORKMANS + DORRIS",,34.998288,-85.312742,,,,,,2
155,2588,"WOODLAND VIEW + JEFFEREY",,34.989323,-85.305493,,,,,,2
